ID,Predicted_Results
9222,0.39094170010650864
3931,0.5929458235135735
1242,0.0281578093127616
3639,0.07216128899263177
7951,0.16858629491589414
1803,0.13680116601153533
1459,0.02697822228555607
3538,0.19246433327683823
8924,0.9961540543392764
9294,0.38245364367655954
7023,0.4639740571055511
3190,0.291211634175711
8145,0.07067125711716672
2313,0.8460900329269535
4265,0.8697760997434753
6517,0.7229592505864394
6136,0.1071302280502333
9413,0.21050367346767632
5070,0.040859742535380404
5141,0.09815362688494957
6633,0.10059912910253978
3729,0.08409904133042646
6038,0.023864201757167854
507,0.15996845969108597
4609,0.2593667610353487
1749,0.20794804514697854
1189,0.06619238541008704
8068,0.0664580212404299
7483,0.17343472207271843
9521,0.10533178380341741
3344,0.13199058394418878
6214,0.06541377670984425
5967,0.11751719153391968
5968,0.11909341121625167
1930,0.25232451599417405
2338,0.04855355815944947
8321,0.332989916641432
6839,0.021697040762229128
2948,0.133060463579482
5202,0.22238128568896007
3281,0.7077401193681281
5385,0.06878858286363082
7029,0.1843839884266215
5949,0.28353595600332543
6627,0.17360668149345562
5157,0.07764587189137162
6322,0.38478653319828793
5181,0.21910704705076178
2085,0.13475092603938607
5044,0.22111211960772212
7866,0.022949171461965505
3882,0.4296604482214743
7844,0.2921286546099113
2968,0.9123960152608245
3527,0.01976700743205546
8136,0.09367280451665883
3016,0.33420396435820626
7404,0.186077086391197
834,0.04617640847403425
5996,0.412593195353909
9703,0.13787843122150553
7655,0.20497253748792008
1168,0.13987397419446254
2262,0.20564449676114493
1620,0.14049132070210332
9093,0.12772156765184986
861,0.42800049429536524
9770,0.179508109686719
9729,0.25097851354469625
2907,0.04663204193783369
5842,0.6094436871058405
1273,0.23153084973378946
5391,0.26417805879405837
8166,0.2251838309948107
7016,0.0759326250764764
7541,0.21414970432416608
8942,0.045308999134806495
2331,0.22285644264876442
1877,0.9354470446287384
8640,0.14644495417874506
7132,0.14762380591048077
2510,0.269074572980181
4549,0.488887726960174
457,0.054787816101104954
2372,0.1770084251126813
2254,0.1572251625364795
5541,0.2290554173823997
158,0.06227787899587764
3973,0.15294081887441296
2463,0.9942865186655022
783,0.06199922903397718
9756,0.12193394126671737
9755,0.14326792394969173
9716,0.04603025783244058
7972,0.14965112129360053
3588,0.1956682724386256
8963,0.19403360626589444
4360,0.2609000903684085
9030,0.09678762230132502
8199,0.1892231641685015
3836,0.15330517329465088
2239,0.028401887635084805
4580,0.5924746903696305
9019,0.2209945828122083
5868,0.15263242260089074
1084,0.06910847578643545
6211,0.12516987388907372
3592,0.045936167525472575
8739,0.12227615979232594
4614,0.2764734055218564
2897,0.07974633495172637
1571,0.09059870246264695
1477,0.025694872404292315
6252,0.16975980265227725
4639,0.34859875003503626
1725,0.1363800072156691
5465,0.22673282742514686
663,0.018641485400528898
255,0.19498970165585722
620,0.10031246475751805
9996,0.04446994062164284
2540,0.6961651344746627
2258,0.04847529281133832
