ID,Predicted_Results
9222,0.47762703663076955
3931,0.5252875440570458
1242,0.12244661952246065
3639,0.07660882639668411
7951,0.14536909879969487
1803,0.24922335822341476
1459,0.04824835868531274
3538,0.2559736789053693
8924,0.8624409964137706
9294,0.2882741816108755
7023,0.4365745796685078
3190,0.254498380348249
8145,0.0902872183001809
2313,0.8492879329896982
4265,0.7595518390499654
6517,0.6461232320277119
6136,0.1341465883952287
9413,0.1921945238777402
5070,0.09968447337461714
5141,0.0777048244276496
6633,0.1119460109495998
3729,0.09220201179318155
6038,0.03550841804248039
507,0.20669600985606484
4609,0.23163849978086876
1749,0.2165764891327909
1189,0.11985203141521208
8068,0.06500621095640689
7483,0.18601781220247976
9521,0.07373418886761827
3344,0.10619415074622027
6214,0.07102498940456205
5967,0.1282045416857521
5968,0.2064700082343737
1930,0.2791174009258568
2338,0.08692982442733496
8321,0.2601982156228995
6839,0.03153470121341006
2948,0.09720970336519358
5202,0.2825526397849121
3281,0.3202758570878966
5385,0.05978539231666933
7029,0.12064714838234411
5949,0.306560946129412
6627,0.10051844572509817
5157,0.10927023672168341
6322,0.38211934822908417
5181,0.20304101160257873
2085,0.0865129961118371
5044,0.1554326552997244
7866,0.042488286256148707
3882,0.31119395460551774
7844,0.3160251536770663
2968,0.7629535322819787
3527,0.03378774515111251
8136,0.13651474915055517
3016,0.33341954727060147
7404,0.17962973459335516
834,0.04695632943168679
5996,0.40889464554228133
9703,0.1263639981745915
7655,0.2621211637441482
1168,0.17936091317325806
2262,0.2249767377474361
1620,0.16205679378193286
9093,0.11884680695704576
861,0.3428952436151315
9770,0.3294848384733923
9729,0.13227681402618618
2907,0.047832086609006626
5842,0.5695039397734191
1273,0.17847737680693582
5391,0.2037220292163055
8166,0.1691140353476319
7016,0.10162113101618377
7541,0.17482288238228305
8942,0.056698690138892054
2331,0.20539169770859442
1877,0.7646297228428162
8640,0.14830129460680663
7132,0.16861085164643352
2510,0.35876189528339736
4549,0.4088103588798699
457,0.087255946156016
2372,0.19076801993225603
2254,0.11800004655300156
5541,0.2299773457560787
158,0.03789128554102397
3973,0.13216255327361215
2463,0.7328872664413547
783,0.03874652126860876
9756,0.14871578071752764
9755,0.17390517629928662
9716,0.07088813964705946
7972,0.10651446144233645
3588,0.1568826172707122
8963,0.24641107888833155
4360,0.22040381587238053
9030,0.09914501421193458
8199,0.20906951388324957
3836,0.1377900580836681
2239,0.05714261360584171
4580,0.4555819291137745
9019,0.1861973496717429
5868,0.24058289455173212
1084,0.06173277180739113
6211,0.09016988473965265
3592,0.06484465483459571
8739,0.12248221445022037
4614,0.27636611115494214
2897,0.06283766392407815
1571,0.11945563428294514
1477,0.05854136706830401
6252,0.18944670338107958
4639,0.3798421576294259
1725,0.20449437236453213
5465,0.38583083972972265
663,0.033788307982844115
255,0.24574000026825743
620,0.11993515364977755
9996,0.08060854107030087
2540,0.547330944873442
2258,0.05804442782549884
7940,0.12477103848267168
183,0.6840217923110772
8216,0.31721392686852556
4693,0.15823947152279422
652,0.4526299743703912
2988,0.07605751388830252
6421,0.34737444594799294
2804,0.13978398656487584
8444,0.07003016075724156
5091,0.157926314405632
